DateRep;Country;Deaths_cumsum
11/11/20;Urubamba;14
11/12/20;Acomayo;6
11/12/20;Anta;22
11/12/20;Calca;9
11/12/20;Canas;3
11/12/20;Canchis;43
11/12/20;Chumbivilcas;3
11/12/20;Cusco;1056
11/12/20;Espinar;13
11/12/20;La Convencion;49
11/12/20;Paruro;8
11/12/20;Paucartambo;1
11/12/20;Quispicanchi;25
11/12/20;Urubamba;14
11/13/20;Acomayo;6
11/13/20;Anta;22
11/13/20;Calca;9
11/13/20;Canas;3
11/13/20;Canchis;43
11/13/20;Chumbivilcas;3
11/13/20;Cusco;1056
11/13/20;Espinar;13
11/13/20;La Convencion;49
11/13/20;Paruro;8
11/13/20;Paucartambo;1
11/13/20;Quispicanchi;25
11/13/20;Urubamba;14
11/14/20;Acomayo;6
11/14/20;Anta;22
11/14/20;Calca;9
11/14/20;Canas;3
11/14/20;Canchis;43
11/14/20;Chumbivilcas;3
11/14/20;Cusco;1057
11/14/20;Espinar;13
11/14/20;La Convencion;49
11/14/20;Paruro;8
11/14/20;Paucartambo;1
11/14/20;Quispicanchi;25
11/14/20;Urubamba;14
11/15/20;Acomayo;6
11/15/20;Anta;22
11/15/20;Calca;9
11/15/20;Canas;3
11/15/20;Canchis;43
11/15/20;Chumbivilcas;3
11/15/20;Cusco;1058
11/15/20;Espinar;13
11/15/20;La Convencion;49
11/15/20;Paruro;8
11/15/20;Paucartambo;1
11/15/20;Quispicanchi;25
11/15/20;Urubamba;14
11/16/20;Acomayo;6
11/16/20;Anta;22
11/16/20;Calca;9
11/16/20;Canas;3
11/16/20;Canchis;43
11/16/20;Chumbivilcas;3
11/16/20;Cusco;1058
11/16/20;Espinar;13
11/16/20;La Convencion;49
11/16/20;Paruro;8
11/16/20;Paucartambo;1
11/16/20;Quispicanchi;26
11/16/20;Urubamba;14
11/17/20;Acomayo;6
11/17/20;Anta;22
11/17/20;Calca;9
11/17/20;Canas;3
11/17/20;Canchis;43
11/17/20;Chumbivilcas;3
11/17/20;Cusco;1061
11/17/20;Espinar;13
11/17/20;La Convencion;50
11/17/20;Paruro;8
11/17/20;Paucartambo;1
11/17/20;Quispicanchi;26
11/17/20;Urubamba;14
11/18/20;Acomayo;6
11/18/20;Anta;22
11/18/20;Calca;9
11/18/20;Canas;3
11/18/20;Canchis;43
11/18/20;Chumbivilcas;3
11/18/20;Cusco;1061
11/18/20;Espinar;13
11/18/20;La Convencion;51
11/18/20;Paruro;8
11/18/20;Paucartambo;1
11/18/20;Quispicanchi;26
11/18/20;Urubamba;14
11/19/20;Acomayo;6
11/19/20;Anta;22
11/19/20;Calca;9
11/19/20;Canas;3
11/19/20;Canchis;43
11/19/20;Chumbivilcas;3
11/19/20;Cusco;1061
11/19/20;Espinar;13
11/19/20;La Convencion;51
11/19/20;Paruro;8
11/19/20;Paucartambo;1
11/19/20;Quispicanchi;27
11/19/20;Urubamba;14
11/2/20;Acomayo;5
11/2/20;Anta;22
11/2/20;Calca;9
11/2/20;Canas;3
11/2/20;Canchis;43
11/2/20;Chumbivilcas;3
11/2/20;Cusco;1044
11/2/20;Espinar;13
11/2/20;La Convencion;48
11/2/20;Paruro;8
11/2/20;Paucartambo;1
11/2/20;Quispicanchi;22
11/2/20;Urubamba;14
11/20/20;Acomayo;6
11/20/20;Anta;22
11/20/20;Calca;9
11/20/20;Canas;3
11/20/20;Canchis;43
11/20/20;Chumbivilcas;3
11/20/20;Cusco;1061
11/20/20;Espinar;13
11/20/20;La Convencion;51
11/20/20;Paruro;8
11/20/20;Paucartambo;1
11/20/20;Quispicanchi;27
11/20/20;Urubamba;14
11/21/20;Acomayo;6
11/21/20;Anta;22
11/21/20;Calca;9
11/21/20;Canas;3
11/21/20;Canchis;43
11/21/20;Chumbivilcas;3
11/21/20;Cusco;1062
11/21/20;Espinar;13
11/21/20;La Convencion;51
11/21/20;Paruro;8
11/21/20;Paucartambo;1
11/21/20;Quispicanchi;27
11/21/20;Urubamba;14
11/22/20;Acomayo;6
11/22/20;Anta;22
11/22/20;Calca;9
11/22/20;Canas;3
11/22/20;Canchis;43
11/22/20;Chumbivilcas;3
11/22/20;Cusco;1062
11/22/20;Espinar;13
11/22/20;La Convencion;51
11/22/20;Paruro;8
11/22/20;Paucartambo;1
11/22/20;Quispicanchi;27
11/22/20;Urubamba;14
11/23/20;Acomayo;6
11/23/20;Anta;22
11/23/20;Calca;9
11/23/20;Canas;3
11/23/20;Canchis;43
11/23/20;Chumbivilcas;3
11/23/20;Cusco;1062
11/23/20;Espinar;13
11/23/20;La Convencion;52
11/23/20;Paruro;9
11/23/20;Paucartambo;1
11/23/20;Quispicanchi;27
11/23/20;Urubamba;14
11/24/20;Acomayo;6
11/24/20;Anta;22
11/24/20;Calca;9
11/24/20;Canas;3
11/24/20;Canchis;43
11/24/20;Chumbivilcas;3
11/24/20;Cusco;1062
11/24/20;Espinar;13
11/24/20;La Convencion;52
11/24/20;Paruro;9
11/24/20;Paucartambo;1
11/24/20;Quispicanchi;28
11/24/20;Urubamba;14
11/25/20;Acomayo;6
11/25/20;Anta;22
11/25/20;Calca;9
11/25/20;Canas;3
11/25/20;Canchis;43
11/25/20;Chumbivilcas;3
11/25/20;Cusco;1064
11/25/20;Espinar;13
11/25/20;La Convencion;52
11/25/20;Paruro;9
11/25/20;Paucartambo;1
11/25/20;Quispicanchi;28
11/25/20;Urubamba;14
11/26/20;Acomayo;6
11/26/20;Anta;22
11/26/20;Calca;9
11/26/20;Canas;3
11/26/20;Canchis;43
11/26/20;Chumbivilcas;3
11/26/20;Cusco;1066
11/26/20;Espinar;13
11/26/20;La Convencion;52
11/26/20;Paruro;9
11/26/20;Paucartambo;1
11/26/20;Quispicanchi;28
11/26/20;Urubamba;14
11/27/20;Acomayo;6
11/27/20;Anta;22
11/27/20;Calca;9
11/27/20;Canas;3
11/27/20;Canchis;43
11/27/20;Chumbivilcas;3
11/27/20;Cusco;1066
11/27/20;Espinar;13
11/27/20;La Convencion;52
11/27/20;Paruro;9
11/27/20;Paucartambo;1
11/27/20;Quispicanchi;28
11/27/20;Urubamba;14
11/28/20;Acomayo;6
11/28/20;Anta;22
11/28/20;Calca;9
11/28/20;Canas;3
11/28/20;Canchis;43
11/28/20;Chumbivilcas;3
11/28/20;Cusco;1066
11/28/20;Espinar;13
11/28/20;La Convencion;52
11/28/20;Paruro;9
11/28/20;Paucartambo;1
11/28/20;Quispicanchi;28
11/28/20;Urubamba;14
11/29/20;Acomayo;6
11/29/20;Anta;22
11/29/20;Calca;9
11/29/20;Canas;3
11/29/20;Canchis;43
11/29/20;Chumbivilcas;3
11/29/20;Cusco;1066
11/29/20;Espinar;13
11/29/20;La Convencion;52
11/29/20;Paruro;9
11/29/20;Paucartambo;1
11/29/20;Quispicanchi;28
11/29/20;Urubamba;14
11/3/20;Acomayo;5
11/3/20;Anta;22
11/3/20;Calca;9
11/3/20;Canas;3
11/3/20;Canchis;43
11/3/20;Chumbivilcas;3
11/3/20;Cusco;1045
11/3/20;Espinar;13
11/3/20;La Convencion;48
11/3/20;Paruro;8
11/3/20;Paucartambo;1
11/3/20;Quispicanchi;22
11/3/20;Urubamba;14
11/4/20;Acomayo;5
11/4/20;Anta;22
11/4/20;Calca;9
11/4/20;Canas;3
11/4/20;Canchis;43
11/4/20;Chumbivilcas;3
11/4/20;Cusco;1048
11/4/20;Espinar;13
11/4/20;La Convencion;48
11/4/20;Paruro;8
11/4/20;Paucartambo;1
11/4/20;Quispicanchi;22
11/4/20;Urubamba;14
11/5/20;Acomayo;5
11/5/20;Anta;22
11/5/20;Calca;9
11/5/20;Canas;3
11/5/20;Canchis;43
11/5/20;Chumbivilcas;3
11/5/20;Cusco;1049
11/5/20;Espinar;13
11/5/20;La Convencion;48
11/5/20;Paruro;8
11/5/20;Paucartambo;1
11/5/20;Quispicanchi;22
11/5/20;Urubamba;14
11/6/20;Acomayo;6
11/6/20;Anta;22
11/6/20;Calca;9
11/6/20;Canas;3
11/6/20;Canchis;43
11/6/20;Chumbivilcas;3
11/6/20;Cusco;1049
11/6/20;Espinar;13
11/6/20;La Convencion;49
11/6/20;Paruro;8
11/6/20;Paucartambo;1
11/6/20;Quispicanchi;22
11/6/20;Urubamba;14
11/7/20;Acomayo;6
11/7/20;Anta;22
11/7/20;Calca;9
11/7/20;Canas;3
11/7/20;Canchis;43
11/7/20;Chumbivilcas;3
11/7/20;Cusco;1050
11/7/20;Espinar;13
11/7/20;La Convencion;49
11/7/20;Paruro;8
11/7/20;Paucartambo;1
11/7/20;Quispicanchi;22
11/7/20;Urubamba;14
11/8/20;Acomayo;6
11/8/20;Anta;22
11/8/20;Calca;9
11/8/20;Canas;3
11/8/20;Canchis;43
11/8/20;Chumbivilcas;3
11/8/20;Cusco;1050
11/8/20;Espinar;13
11/8/20;La Convencion;49
11/8/20;Paruro;8
11/8/20;Paucartambo;1
11/8/20;Quispicanchi;23
11/8/20;Urubamba;14
11/9/20;Acomayo;6
11/9/20;Anta;22
11/9/20;Calca;9
11/9/20;Canas;3
11/9/20;Canchis;43
11/9/20;Chumbivilcas;3
11/9/20;Cusco;1051
11/9/20;Espinar;13
11/9/20;La Convencion;49
11/9/20;Paruro;8
11/9/20;Paucartambo;1
11/9/20;Quispicanchi;23
11/9/20;Urubamba;14
3/13/20;Acomayo;0
3/13/20;Anta;0
3/13/20;Calca;0
3/13/20;Canas;0
3/13/20;Canchis;0
3/13/20;Chumbivilcas;0
3/13/20;Cusco;0
3/13/20;Espinar;0
3/13/20;La Convencion;0
3/13/20;Paruro;0
3/13/20;Paucartambo;0
3/13/20;Quispicanchi;0
3/13/20;Urubamba;0
3/14/20;Acomayo;0
3/14/20;Anta;0
3/14/20;Calca;0
3/14/20;Canas;0
3/14/20;Canchis;0
3/14/20;Chumbivilcas;0
3/14/20;Cusco;0
3/14/20;Espinar;0
3/14/20;La Convencion;0
3/14/20;Paruro;0
3/14/20;Paucartambo;0
3/14/20;Quispicanchi;0
3/14/20;Urubamba;0
3/15/20;Acomayo;0
3/15/20;Anta;0
3/15/20;Calca;0
3/15/20;Canas;0
3/15/20;Canchis;0
3/15/20;Chumbivilcas;0
3/15/20;Cusco;0
3/15/20;Espinar;0
3/15/20;La Convencion;0
3/15/20;Paruro;0
3/15/20;Paucartambo;0
3/15/20;Quispicanchi;0
3/15/20;Urubamba;0
3/16/20;Acomayo;0
3/16/20;Anta;0
3/16/20;Calca;0
3/16/20;Canas;0
3/16/20;Canchis;0
