DateRep;Country;Cases_cumsum
11/18/20;Espinar;2181
11/18/20;La Convencion;6835
11/18/20;Paruro;496
11/18/20;Paucartambo;509
11/18/20;Quispicanchi;2631
11/18/20;Urubamba;1934
11/19/20;Acomayo;418
11/19/20;Anta;1922
11/19/20;Calca;1314
11/19/20;Canas;359
11/19/20;Canchis;3486
11/19/20;Chumbivilcas;900
11/19/20;Cusco;47089
11/19/20;Espinar;2188
11/19/20;La Convencion;6846
11/19/20;Paruro;498
11/19/20;Paucartambo;509
11/19/20;Quispicanchi;2635
11/19/20;Urubamba;1936
11/2/20;Acomayo;396
11/2/20;Anta;1867
11/2/20;Calca;1265
11/2/20;Canas;323
11/2/20;Canchis;3341
11/2/20;Chumbivilcas;841
11/2/20;Cusco;45520
11/2/20;Espinar;2014
11/2/20;La Convencion;6451
11/2/20;Paruro;467
11/2/20;Paucartambo;481
11/2/20;Quispicanchi;2495
11/2/20;Urubamba;1785
11/20/20;Acomayo;420
11/20/20;Anta;1923
11/20/20;Calca;1321
11/20/20;Canas;361
11/20/20;Canchis;3492
11/20/20;Chumbivilcas;901
11/20/20;Cusco;47179
11/20/20;Espinar;2196
11/20/20;La Convencion;6861
11/20/20;Paruro;498
11/20/20;Paucartambo;511
11/20/20;Quispicanchi;2638
11/20/20;Urubamba;1938
11/21/20;Acomayo;421
11/21/20;Anta;1923
11/21/20;Calca;1326
11/21/20;Canas;363
11/21/20;Canchis;3497
11/21/20;Chumbivilcas;902
11/21/20;Cusco;47239
11/21/20;Espinar;2202
11/21/20;La Convencion;6871
11/21/20;Paruro;498
11/21/20;Paucartambo;512
11/21/20;Quispicanchi;2641
11/21/20;Urubamba;1941
11/22/20;Acomayo;421
11/22/20;Anta;1924
11/22/20;Calca;1326
11/22/20;Canas;363
11/22/20;Canchis;3501
11/22/20;Chumbivilcas;906
11/22/20;Cusco;47286
11/22/20;Espinar;2205
11/22/20;La Convencion;6887
11/22/20;Paruro;499
11/22/20;Paucartambo;512
11/22/20;Quispicanchi;2643
11/22/20;Urubamba;1942
11/23/20;Acomayo;421
11/23/20;Anta;1929
11/23/20;Calca;1327
11/23/20;Canas;363
11/23/20;Canchis;3513
11/23/20;Chumbivilcas;907
11/23/20;Cusco;47367
11/23/20;Espinar;2210
11/23/20;La Convencion;6900
11/23/20;Paruro;499
11/23/20;Paucartambo;514
11/23/20;Quispicanchi;2648
11/23/20;Urubamba;1945
11/24/20;Acomayo;422
11/24/20;Anta;1930
11/24/20;Calca;1333
11/24/20;Canas;364
11/24/20;Canchis;3522
11/24/20;Chumbivilcas;909
11/24/20;Cusco;47476
11/24/20;Espinar;2230
11/24/20;La Convencion;6918
11/24/20;Paruro;499
11/24/20;Paucartambo;515
11/24/20;Quispicanchi;2654
11/24/20;Urubamba;1948
11/25/20;Acomayo;422
11/25/20;Anta;1933
11/25/20;Calca;1334
11/25/20;Canas;365
11/25/20;Canchis;3530
11/25/20;Chumbivilcas;910
11/25/20;Cusco;47570
11/25/20;Espinar;2237
11/25/20;La Convencion;6930
11/25/20;Paruro;501
11/25/20;Paucartambo;541
11/25/20;Quispicanchi;2673
11/25/20;Urubamba;1954
11/26/20;Acomayo;422
11/26/20;Anta;1935
11/26/20;Calca;1336
11/26/20;Canas;365
