DateRep,porcentajeUCI,porcentajeNOUCI,porcentajeNIVELIII,porcentajeTOTAL
9/16/20,1,.5776699029126213,.6036446469248291,.5410447761194029
9/17/20,1.037037037037037,.5703883495145631,.5990888382687927,.5410447761194029
9/18/20,1.037037037037037,.5695876288659794,.6,.544921875
9/19/20,.9629629629629629,.5850515463917526,.6096385542168675,.55078125
9/20/20,.9629629629629629,.5824742268041238,.6072289156626506,.548828125
9/21/20,.9259259259259259,.5773195876288659,.6,.5268199233716475
9/22/20,.8888888888888888,.4932975871313673,.52,.4654832347140039
9/23/20,.8888888888888888,.5067024128686327,.5325,.4714003944773176
9/24/20,.9411764705882353,.4959785522788204,.5331695331695332,.4727626459143969
9/25/20,.9411764705882353,.4691689008042895,.5085995085995086,.453307392996109
9/26/20,.9117647058823529,.4879356568364611,.5233415233415234,.4649805447470817
9/27/20,.9411764705882353,.4959785522788204,.5331695331695332,.4919678714859438
9/28/20,.9411764705882353,.4959785522788204,.5331695331695332,.4919678714859438
9/29/20,.9411764705882353,.485254691689008,.5233415233415234,.4839357429718876
9/30/20,.9411764705882353,.4959785522788204,.5331695331695332,.4919678714859438
10/1/20,.9117647058823529,.4530831099195711,.4914004914004914,.4578313253012048
10/2/20,.9117647058823529,.4235924932975871,.4643734643734644,.4337349397590362
10/3/20,.9117647058823529,.4101876675603217,.4520884520884521,.4236947791164659
10/4/20,.9117647058823529,.4099722991689751,.4531645569620253,.4238683127572017
10/5/20,.9411764705882353,.4016620498614958,.4481012658227848,.4197530864197531
10/6/20,.9411764705882353,.4016620498614958,.4481012658227848,.4197530864197531
10/7/20,.8823529411764706,.4016620498614958,.4430379746835443,.4259259259259259
10/8/20,.9411764705882353,.4155124653739612,.4607594936708861,.4423868312757202
10/9/20,.8823529411764706,.3795013850415512,.4227848101265823,.4094650205761317
10/10/20,.8529411764705882,.3961218836565097,.4354430379746835,.4218106995884774
10/11/20,.8529411764705882,.4265927977839335,.4632911392405064,.4114285714285714
10/12/20,.8529411764705882,.3802816901408451,.4215938303341902,.3699421965317919
10/13/20,.9117647058823529,.3774647887323944,.4241645244215938,.3680154142581888
10/14/20,.8823529411764706,.3760445682451253,.4198473282442748,.3406998158379374
10/15/20,.7941176470588235,.3565459610027855,.3944020356234097,.3296500920810313
10/16/20,.8529411764705882,.3565459610027855,.3994910941475827,.3425414364640884
10/17/20,.8823529411764706,.3565459610027855,.4020356234096692,.3370165745856354
10/18/20,.8823529411764706,.3760445682451253,.4198473282442748,.3517495395948435
10/19/20,.8421052631578947,.3581560283687943,.415625,.3404255319148936
10/20/20,.8421052631578947,.3333333333333333,.39375,.3319148936170213
10/21/20,.7894736842105263,.3581560283687943,.409375,.3425531914893617
10/22/20,.75,.3475177304964539,.3838709677419355,.3072164948453608
10/23/20,.75,.2907801418439716,.3322580645161291,.2639175257731959
10/24/20,.75,.2624113475177305,.3064516129032258,.2474226804123711
10/25/20,.6428571428571429,.2553191489361702,.2903225806451613,.2391752577319588
10/26/20,.6428571428571429,.2482269503546099,.2838709677419355,.2350515463917526
10/27/20,.6071428571428571,.2695035460992908,.3,.245360824742268
10/28/20,.5,.2588652482269503,.2806451612903226,.2371134020618557
10/29/20,.5185185185185185,.2482269503546099,.2718446601941748,.231404958677686
10/30/20,.5925925925925926,.2517730496453901,.2815533980582524,.231404958677686
10/31/20,.5925925925925926,.1884816753926702,.215158924205379,.1883561643835617
11/1/20,.5925925925925926,.1727748691099476,.2004889975550122,.1780821917808219
11/2/20,0,0,0,0
11/3/20,0,0,0,0
11/4/20,0,0,0,0
11/5/20,0,0,0,0
11/6/20,0,0,0,0
11/7/20,0,0,0,0
